"","mice","date_expe","BW","BT","EEDm","EENm","EREDm","FAT","FATPROP","FIDs","FINs","GLY","LEAN","LEANPROP","P0","P1","P3","RERDm","RERNm","STATUS","VCO2Dm","VCO2Nm","VO2Dm","VO2Nm","WIDs","WINs","XYDm","XYNm","ZDs","ZNs","DOB","DOD","AGE","REMAINTIME","XYTOTs","ZTOTs","XYZTOTs","XYZDs","XYZNs","XYDs","XYNs","RERTOTm","EETOTs","EEDs","EENs","FIDKCALs","FINKCALs","FITOTKCALs","WITOTs","EB","FAOX"
"20",3,2019-09-03,35.9,37.2,0.484092013888889,0.589319444444445,0.449345486111111,7.44,22.5454545454545,0.593333333333333,3.43,126,21.768,65.9636363636364,3.505,8.218,7.303,0.865878472222222,0.968048611111111,"GROUPED",85.5954861111111,113.881944444444,113.881944444444,117.569444444444,1.325,3.27333333333333,563.631944444444,1376.97222222222,1380.75,6576,2018-11-20,2019-11-07,287,-65,23287.25,7956.75,31244,8144.33333333333,23099.6666666667,6763.58333333333,16523.6666666667,0.916963541666667,12.8809375,5.80910416666667,7.07183333333333,1.98114,11.45277,13.43391,4.59833333333333,0.552972499999997,3.56529143337674
"21",3,2019-09-17,31.3,37.2,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,3.871,NA,7.542,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,301,-51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3,2019-10-04,38.1,35.6,0.498748263888889,0.571390625,0.474362268518519,9.125,27.4024024024024,0.395833333333333,2.81333333333333,139,21.668,65.0690690690691,3.915,10.929,7.584,0.813965277777778,0.896395833333333,"GROUPED",83.921875,104.0625,104.0625,115.770833333333,0,0,517.8125,1557.89583333333,1850.25,9509,2018-11-20,2019-11-07,318,-34,24908.5,11359.25,36267.75,8064,28203.75,6213.75,18694.75,0.855180555555556,12.8416666666667,5.98497916666667,6.8566875,1.3216875,9.39372,10.7154075,0,-2.12625916666667,6.19907677469136
"23",3,2019-10-22,34.7,37.2,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,3.856,NA,7.958,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,336,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",3,2019-10-31,38.6,37.2,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,4.226,18.762,11.379,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,345,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",4,2019-03-01,27.4,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,NA,3.361,9.357,5.947,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,101,-166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",4,2019-03-22,27.6,NA,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,4.015,12.304,6.625,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,122,-145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",4,2019-04-17,32.1,NA,NA,NA,NA,2.75,10.5363984674329,NA,NA,136,21.68,83.0651340996169,3.651,9.847,7.273,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,148,-119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",4,2019-06-05,33.3,37.9,0.496,0.567,0.484277083333333,4.744,16.7632508833922,0.295,3.7175,125,21.525,76.0600706713781,5.49,12.156,6.704,0.845,0.966,"GROUPED",86.095,109.5,109.5,113.104,0.0309999999999996,2.965,647.4,2258.208,289.8,4020.5,2018-11-20,2019-08-14,197,-70,34867.296,4310.3,39177.596,8058.6,31118.996,7768.8,27098.496,0.9055,12.756,5.952,6.804,0.985004999999999,12.4127325,13.3977375,2.996,0.641737499999998,4.01814
"29",4,2019-07-04,33.6,36.7,NA,NA,NA,5.572,18.952380952381,NA,NA,131,21.901,74.4931972789116,4.851,12.509,7.428,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,226,-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",4,2019-07-30,34.4,36.8,NA,NA,NA,5.71,17.84375,NA,NA,131,21.38,66.8125,3.866,15.274,8.391,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,252,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",5,2019-03-01,27.6,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,NA,3.315,6.692,5.602,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,101,-166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",5,2019-03-22,29.15,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,4.354,36.139,7.181,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,122,-145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",5,2019-04-17,34.3,NA,NA,NA,NA,8.5,26.6457680250784,NA,NA,151,20.81,65.2351097178683,3.683,11.221,7.507,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,148,-119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",5,2019-06-05,37.4,37.5,NA,NA,NA,4.921,17.4503546099291,NA,NA,144,21.076,74.7375886524823,3.793,13.345,7.755,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,197,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",5,2019-07-04,37.3,38.4,0.507,0.606,0.493631313131313,9.148,26.5159420289855,0.340833333333334,4.15,136,22.917,66.4260869565217,3.622,17.247,10.133,0.828,0.977,"GROUPED",86.665,117.938,117.938,120.604,0.0433333333333333,3.60333333333333,588.264,2124.861,470.4,6779.75,2018-11-20,2019-08-14,226,-41,32557.5,7250.15,39807.65,7529.568,32278.082,7059.168,25498.332,0.9025,13.356,6.084,7.272,1.1380425,13.85685,14.9948925,3.64666666666667,1.6388925,4.3407
"36",5,2019-07-30,27.1,35.3,0.250888888888889,0.266625,0.228416666666667,0.94,3.62934362934363,0.05,0,91,19.721,76.1428571428571,4.044,13.887,16.82,0.894076388888889,0.897361111111111,"GROUPED",45.5833333333333,48.5416666666667,48.5416666666667,54.0416666666667,0.316666666666666,0.446666666666667,217.694444444444,303.416666666667,76.6666666666667,89.6666666666667,2018-11-20,2019-08-14,252,-15,6253.33333333333,166.333333333333,6419.66666666667,2689,3730.66666666667,2612.33333333333,3641,0.89571875,6.21016666666667,3.01066666666667,3.1995,0.16695,0,0.16695,0.763333333333333,-6.04321666666667,2.15867980902778
"37",5,2019-08-14,21.4,34.5,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,4.797,NA,33.51,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,267,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",6,2019-03-01,28.4,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,3.33,10.514,6.627,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-24,101,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",6,2019-03-22,27.8,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,4.138,10.506,7.726,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-24,122,-94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",6,2019-04-17,29.3,NA,NA,NA,NA,9.87,31.2341772151899,NA,NA,135,19.27,60.9810126582278,3.763,10.85,6.799,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-24,148,-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",6,2019-06-05,33.1,38,0.438,0.508,0.414065277777778,6.648,22.4594594594595,0.672999999999999,2.8825,133,20.897,70.597972972973,3.667,11.522,8.713,0.846,0.964,"GROUPED",76.156,97.87,97.87,101.344,0.2905,2.44,606.283,1924.208,1137.05,5555,2018-11-20,2019-06-24,197,-19,30365.892,6692.05,37057.942,8412.446,28645.496,7275.396,23090.496,0.905,11.352,5.256,6.096,2.247147,9.6246675,11.8718145,2.7305,0.519814499999999,3.5948
"42",7,2019-03-01,29.2,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,14.341,11.355,16.369,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,101,-251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",7,2019-03-22,29.9,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,4.138,10.522,7.015,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,122,-230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",7,2019-04-17,32.7,NA,NA,NA,NA,8.91,28.8349514563107,NA,NA,143,19.51,63.1391585760518,3.855,10.985,7.599,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,148,-204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",7,2019-06-05,35.5,37.7,NA,NA,NA,7.695,25.65,NA,NA,130,20.159,67.1966666666667,3.975,12.457,8.855,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,197,-155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",7,2019-07-04,36.3,36.6,NA,NA,NA,11.086,31.8563218390805,NA,NA,147,21.617,62.117816091954,3.483,9.39,6.671,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,226,-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",7,2019-07-30,34.8,36.9,0.521798611111111,0.615020833333333,0.489505050505051,7.872,23.5688622754491,0.266666666666667,3.78333333333333,121,21.927,65.6497005988024,3.816,10.514,8.486,0.811479166666667,0.966201388888889,"GROUPED",87.6875,118.694444444444,118.694444444444,122.743055555556,0.0533333333333337,3.17666666666667,722.388888888889,1432.75,700.666666666667,5633.66666666667,2018-11-20,2019-11-07,252,-100,25861.6666666667,6334.33333333333,32196,9369.33333333333,22826.6666666667,8668.66666666667,17193,0.888840277777778,13.6418333333333,6.26158333333333,7.38025,0.8904,12.63255,13.52295,3.23,-0.118883333333336,5.05474134645061
"48",7,2019-08-14,31.4,36.4,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,3.977,NA,7.534,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,267,-85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",7,2019-09-03,34.8,38.3,0.551338541666667,0.646006944444444,0.536168981481482,9.643,27.5514285714286,0.169166666666667,4.89333333333333,119,22.331,63.8028571428571,4.042,10.394,7.016,0.842675347222222,1.00502777777778,"GROUPED",95.3819444444444,128.569444444444,128.569444444444,127.826388888889,2.00666666666667,4.31,552.743055555556,2070.08333333333,378,4220.25,2018-11-20,2019-11-07,287,-65,31473.9166666667,4598.25,36072.1666666667,7010.91666666667,29061.25,6632.91666666667,24841,0.9238515625,14.3681458333333,6.6160625,7.75208333333333,0.564847500000001,16.33884,16.9036875,6.31666666666667,2.53554166666666,3.64703951660156
"50",7,2019-09-17,33.6,37,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,3.718,NA,7.336,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,301,-51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",7,2019-10-04,36.9,38,0.552321180555555,0.636432291666667,0.532428240740741,11.085,36.95,0.195,4.39,149,22.047,73.49,4.242,9.63,6.389,0.838704861111111,0.965703125,"GROUPED",95.3663194444444,122.765625,122.765625,127.057291666667,0.0658333333333331,3.83333333333333,568.604166666667,1744,292,4373.75,2018-11-20,2019-11-07,318,-34,27751.25,4665.75,32417,7115.25,25301.75,6823.25,20928,0.902203993055556,14.2650416666667,6.62785416666667,7.6371875,0.651105000000001,14.65821,15.309315,3.89916666666667,1.04427333333333,4.65021371298707
"52",7,2019-10-22,33.9,36,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,3.746,NA,6.983,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,336,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",7,2019-10-31,36.2,37.8,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,4.017,11.602,6.486,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-11-07,345,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",8,2019-03-01,33.5,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,4.014,3.414,7.74,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-26,101,-178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",8,2019-03-22,34.2,NA,NA,NA,NA,NA,NA,NA,NA,174,NA,NA,5.318,11.916,7.394,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-26,122,-157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",8,2019-04-17,33.4,NA,NA,NA,NA,11.38,33.6686390532544,NA,NA,144,20.23,59.8520710059172,3.839,11.394,7.245,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-26,148,-131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",8,2019-06-05,36.7,37.7,NA,NA,NA,8.608,26.1641337386018,NA,NA,136,22.241,67.6018237082067,3.556,10.742,9.109,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-26,197,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",8,2019-07-04,38.4,36.7,NA,NA,NA,10.585,30.3295128939828,NA,NA,129,22.098,63.3180515759312,3.645,10.612,7.283,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-26,226,-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",8,2019-07-30,37.8,37,0.395381944444444,0.440798611111111,0.379973958333333,1.165,3.40643274853801,0.38,1.65333333333333,131,25.93,75.8187134502924,3.787,14.739,10.796,0.7925,0.8366875,"GROUPED",65.0972222222222,75.7430555555556,75.7430555555556,90.5833333333333,0.19,0.966666666666667,384.388888888889,571.722222222222,218,955,2018-11-20,2019-08-26,252,-27,11473.3333333333,1173,12646.3333333333,4830.66666666667,7815.66666666667,4612.66666666667,6860.66666666667,0.81459375,10.0341666666667,4.74458333333333,5.28958333333333,1.26882,5.52048,6.7893,1.15666666666667,-3.24486666666667,6.20132404513889
"60",8,2019-08-14,29,32.5,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,4.566,NA,22.499,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-26,267,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",9,2019-03-01,29.2,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,3.735,10.924,6.873,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-28,101,-119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",9,2019-03-22,31.4,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,4.273,9.67,7.169,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-28,122,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",9,2019-04-17,34.5,NA,0.57,0.646,NA,NA,NA,0.225,4.1,144,NA,NA,4.218,9.337,7.139,0.862,0.983,"GROUPED",100.531,126.458,126.458,128.438,0.0366666666666665,3.915,3574.222,5788.458,347.333333333333,8008.33333333333,2018-11-20,2019-06-28,148,-72,112352.16,8355.66666666667,120707.826666667,43237.9973333333,77469.8293333333,42890.664,69461.496,0.9225,14.592,6.84,7.752,0.751274999999999,13.6899,14.441175,3.95166666666667,-0.150825000000003,3.7696
"64",9,2019-06-05,36.8,36.7,NA,NA,NA,6.167,20.5566666666667,NA,NA,140,22.137,73.79,4.028,14.662,9.56,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-06-28,197,-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",10,2019-03-01,28.6,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,NA,3.253,16.883,6.253,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,101,-166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",10,2019-03-22,28.3,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,4.121,10.324,6.473,NA,NA,"GROUPED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-11-20,2019-08-14,122,-145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
